temperature,humidity,voc,ammonia,alcohol,timestamp,stage,cycle_id
36.1,64,643,1453,1124,28-09-2025 00:38,Fresh,1
36.1,63.9,646,1458,1136,28-09-2025 00:43,Fresh,1
36.1,64.3,635,1457,1135,28-09-2025 00:48,Fresh,1
36.1,64.5,631,1434,1127,28-09-2025 00:53,Fresh,1
36.1,64.2,634,1479,1144,28-09-2025 00:58,Fresh,1
36.1,64.5,625,1471,1123,28-09-2025 01:03,Fresh,1
36.1,64.4,629,1450,1127,28-09-2025 01:08,Fresh,1
36.1,64.2,624,1474,1121,28-09-2025 01:13,Fresh,1
36.1,64.3,630,1478,1137,28-09-2025 01:18,Fresh,1
36.1,64.3,624,1472,1123,28-09-2025 01:23,Fresh,1
36.1,64.4,624,1430,1123,28-09-2025 01:28,Fresh,1
36.1,64.1,625,1472,1113,28-09-2025 01:33,Fresh,1
36.1,64.1,623,1463,1113,28-09-2025 01:38,Fresh,1
36.1,64.3,623,1447,1114,28-09-2025 01:43,Fresh,1
36.1,63.7,624,1440,1123,28-09-2025 01:48,Fresh,1
36.1,64.3,621,1455,1132,28-09-2025 01:53,Fresh,1
36.1,64.4,621,1430,1121,28-09-2025 01:58,Fresh,1
36,64.6,624,1463,1123,28-09-2025 02:03,Fresh,1
36,64.1,624,1433,1129,28-09-2025 02:08,Fresh,1
36.1,64.7,621,1415,1134,28-09-2025 02:13,Fresh,1
36.1,64.8,619,1427,1137,28-09-2025 02:18,Fresh,1
36,64.3,620,1438,1121,28-09-2025 02:24,Fresh,1
36,64.1,617,1480,1121,28-09-2025 02:29,Fresh,1
36,64,621,1431,1118,28-09-2025 02:34,Fresh,1
36,64.3,623,1458,1129,28-09-2025 02:39,Fresh,1
36,64.9,622,1423,1139,28-09-2025 02:44,Fresh,1
36,64.4,622,1435,1139,28-09-2025 02:49,Fresh,1
36,64.4,623,1444,1136,28-09-2025 02:54,Fresh,1
36,64.5,623,1485,1136,28-09-2025 02:59,Fresh,1
36,64.6,622,1456,1142,28-09-2025 03:04,Fresh,1
36,64.2,619,1435,1133,28-09-2025 03:09,Fresh,1
35.9,64.6,629,1439,1135,28-09-2025 03:14,Fresh,1
35.9,64.7,617,1420,1139,28-09-2025 03:19,Fresh,1
35.9,64.4,624,1424,1146,28-09-2025 03:24,Fresh,1
35.9,64.7,624,1427,1134,28-09-2025 03:29,Fresh,1
35.9,64.6,625,1441,1150,28-09-2025 03:34,Fresh,1
35.9,64.4,624,1430,1141,28-09-2025 03:39,Fresh,1
35.9,64.5,629,1436,1139,28-09-2025 03:44,Fresh,1
35.9,64,624,1431,1136,28-09-2025 03:49,Fresh,1
35.9,64.2,624,1455,1136,28-09-2025 03:54,Fresh,1
35.8,64.3,623,1486,1143,28-09-2025 03:59,Fresh,1
35.8,64.2,619,1441,1142,28-09-2025 04:04,Fresh,1
35.8,64.2,624,1455,1161,28-09-2025 04:09,Fresh,1
35.8,63.9,624,1500,1149,28-09-2025 04:14,Fresh,1
35.8,64.3,626,1449,1167,28-09-2025 04:19,Fresh,1
35.8,64.4,623,1466,1155,28-09-2025 04:24,Fresh,1
35.8,64.2,629,1395,1159,28-09-2025 04:29,Fresh,1
35.8,64.1,637,1439,1164,28-09-2025 04:34,Fresh,1
35.8,64,624,1435,1163,28-09-2025 04:39,Fresh,1
35.8,64.4,631,1461,1166,28-09-2025 04:44,Fresh,1
35.8,64.3,626,1442,1165,28-09-2025 04:49,Fresh,1
